Date,ACT,AUS,NSW,NT,QLD,SA,TAS,VIC,WA
1975-01-01,320,20017,6962,185,3193,1739,616,5301,1705
1975-02-01,333,18660,6412,135,3004,1612,536,4914,1711
1975-03-01,342,20167,6945,206,3264,1690,589,5297,1835
1975-04-01,348,19092,6647,209,3041,1618,521,5023,1679
1975-05-01,336,20454,7377,225,3145,1631,614,5411,1721
1975-06-01,374,19156,6654,193,3027,1650,538,5069,1651
1975-07-01,372,20077,7047,196,3193,1600,554,5345,1773
1975-08-01,354,19034,6679,199,2918,1569,639,5021,1657
1975-09-01,361,19312,6687,202,2923,1612,637,5137,1752
1975-10-01,337,19434,6709,178,2901,1683,609,5321,1698
1975-11-01,344,18205,6270,190,2838,1519,555,4906,1584
1975-12-01,366,19104,6496,240,2831,1672,551,5225,1726
1976-01-01,319,19293,6704,245,2994,1650,546,5160,1679
1976-02-01,321,18663,6599,236,2938,1542,527,4830,1675
1976-03-01,371,20260,7175,259,3176,1706,618,5219,1742
1976-04-01,381,19197,6680,260,3073,1570,505,4968,1764
1976-05-01,335,19274,6576,235,2979,1651,588,5129,1786
1976-06-01,348,18806,6489,233,2874,1553,560,4998,1752
1976-07-01,388,18903,6573,209,2940,1539,569,4864,1826
1976-08-01,396,18373,6319,193,2890,1537,536,4755,1746
1976-09-01,331,18751,6530,223,2838,1538,590,4988,1717
1976-10-01,375,19046,6484,185,2773,1670,615,5251,1695
1976-11-01,340,18111,6217,218,2897,1487,547,4816,1591
1976-12-01,375,18656,6464,223,2769,1624,602,4927,1675
1977-01-01,383,18671,6590,197,2922,1559,503,4845,1670
1977-02-01,344,17919,6357,233,2873,1467,508,4524,1608
1977-03-01,373,20084,7035,262,3247,1678,580,5176,1723
1977-04-01,379,18722,6408,241,2960,1586,533,4962,1645
1977-05-01,381,19836,6794,243,3034,1756,597,5212,1813
1977-06-01,350,19287,6712,231,3053,1626,553,5028,1734
1977-07-01,369,19435,6719,238,3095,1699,560,4944,1801
1977-08-01,387,19139,6629,207,2832,1650,577,5072,1777
1977-09-01,356,19017,6643,187,2833,1589,574,5083,1752
1977-10-01,386,19070,6572,216,2773,1570,621,5172,1756
1977-11-01,357,17800,6051,211,2796,1451,612,4730,1589
1977-12-01,368,18077,6085,218,2804,1552,552,4822,1671
1978-01-01,345,18751,6556,239,2833,1622,592,4814,1751
1978-02-01,336,18013,6376,214,2861,1477,502,4610,1637
1978-03-01,377,20221,7095,258,3226,1661,544,5249,1814
1978-04-01,325,18830,6513,236,2995,1555,585,4865,1757
1978-05-01,365,19317,6686,251,3076,1550,527,4921,1942
1978-06-01,328,18641,6493,256,2891,1467,513,4893,1801
1978-07-01,351,18454,6438,191,2791,1472,579,4912,1721
1978-08-01,370,19256,6716,215,2945,1569,622,5064,1757
1978-09-01,330,18811,6570,211,2933,1554,641,4927,1645
1978-10-01,368,18746,6379,239,2807,1588,633,5124,1611
1978-11-01,331,17742,6225,192,2641,1437,585,4753,1575
1978-12-01,364,18153,6329,212,2754,1475,559,4822,1645
1979-01-01,362,18527,6588,212,2863,1505,553,4670,1778
1979-02-01,324,17960,6277,244,2880,1457,493,4636,1650
1979-03-01,392,20010,6953,226,3276,1631,609,5005,1920
1979-04-01,351,18941,6628,205,3061,1592,572,4705,1829
1979-05-01,379,19646,6862,236,3231,1637,584,4914,1805
1979-06-01,329,18249,6345,220,2972,1472,558,4666,1689
1979-07-01,359,19027,6818,234,2936,1532,578,4853,1720
1979-08-01,357,18800,6547,245,2904,1508,606,4882,1754
1979-09-01,334,18310,6392,197,2864,1484,573,4801,1666
1979-10-01,356,18612,6337,196,2791,1506,608,5061,1768
1979-11-01,363,17629,6147,206,2767,1463,522,4563,1600
1979-12-01,362,17588,6060,211,2696,1449,562,4646,1608
1980-01-01,368,18923,6787,248,2952,1520,562,4833,1656
1980-02-01,328,18213,6267,235,2947,1521,530,4702,1686
1980-03-01,328,19559,6967,256,3185,1587,545,4916,1777
1980-04-01,356,18851,6609,235,3047,1563,540,4784,1723
1980-05-01,347,19786,6907,279,3292,1614,570,4964,1813
1980-06-01,328,19070,6962,213,3105,1435,558,4702,1772
1980-07-01,394,19120,6717,241,3072,1544,552,4801,1801
1980-08-01,347,18471,6415,234,2866,1556,593,4736,1726
1980-09-01,379,19010,6708,217,2828,1599,597,4968,1714
1980-10-01,339,19107,6752,218,2819,1627,648,5009,1695
1980-11-01,331,17255,6043,228,2598,1426,546,4487,1598
1980-12-01,320,19087,6435,242,3138,1531,583,5052,1783
1981-01-01,329,19466,6824,252,3233,1583,608,4840,1802
1981-02-01,314,18537,6548,227,3126,1442,552,4663,1668
1981-03-01,359,20992,7522,265,3482,1704,612,5172,1879
1981-04-01,385,20315,7169,258,3464,1623,563,4988,1864
1981-05-01,353,20652,7255,264,3440,1689,661,5135,1862
1981-06-01,354,19721,6981,260,3350,1598,575,4892,1717
1981-07-01,309,20149,7123,240,3256,1602,597,5067,1955
1981-08-01,355,20028,6998,258,3387,1535,611,4904,1983
1981-09-01,380,20296,7080,246,3241,1693,645,5111,1901
1981-10-01,358,20004,6888,235,3270,1605,625,5124,1902
1981-11-01,313,18093,6228,221,2842,1503,596,4638,1751
1981-12-01,343,19382,6617,236,3215,1516,603,5020,1836
1982-01-01,345,19481,6809,259,3292,1569,609,4875,1726
1982-02-01,336,18714,6437,244,3236,1503,538,4696,1725
1982-03-01,358,21555,7563,280,3709,1723,607,5304,2009
1982-04-01,355,19782,6936,265,3429,1580,569,4791,1861
1982-05-01,322,19970,6904,268,3469,1618,571,4908,1915
1982-06-01,307,19871,6840,266,3522,1603,576,4908,1851
1982-07-01,361,20229,7189,219,3372,1648,588,4964,1887
1982-08-01,364,20547,7231,246,3569,1642,635,4939,1920
1982-09-01,339,20327,7156,239,3329,1680,621,5046,1917
1982-10-01,369,20027,6928,243,3252,1646,577,5135,1876
1982-11-01,312,18714,6532,254,3189,1457,517,4741,1709
1982-12-01,388,19530,6765,273,3282,1506,576,4864,1878
1983-01-01,319,19887,6852,230,3541,1660,601,4812,1880
1983-02-01,306,19359,6801,265,3470,1578,558,4654,1730
1983-03-01,351,22182,7741,287,3987,1766,581,5400,2068
1983-04-01,331,20460,7082,316,3712,1558,589,4919,1954
1983-05-01,358,20851,7236,283,3663,1676,597,5046,1996
1983-06-01,299,20115,6779,282,3520,1657,614,5086,1879
1983-07-01,340,20686,6921,273,3594,1693,616,5289,1956
