week,CA_1,CA_2,CA_3,CA_4,TX_1,TX_2,TX_3,WI_1,WI_2,WI_3
2011-01-03,4913.61,4374.2,5026.37,4237.54,4520.67,4878.9800000000005,4393.82,3894.56,3667.12,4600.0
2011-01-10,5422.64,4763.45,5397.64,4836.21,5171.96,5298.05,5058.86,4413.5,4337.92,5134.62
2011-01-17,5685.39,4952.13,5617.9,5046.1,5491.02,5604.91,5369.7,4622.65,4650.17,5420.32
2011-01-24,5818.77,5027.88,5735.96,5207.07,5588.14,5702.01,5536.56,4730.77,4827.84,5591.19
2011-01-31,5888.11,5100.49,5847.3,5313.07,5721.58,5834.3,5615.26,4838.43,4946.57,5672.27
2011-02-07,6007.54,5214.96,5933.17,5455.7300000000005,5858.75,5970.12,5731.75,4970.67,5055.94,5827.94
2011-02-14,6158.71,5321.81,6110.61,5600.78,6009.96,6129.97,5855.05,5128.54,5138.15,5989.41
2011-02-21,6232.24,5385.63,6200.44,5714.54,6133.69,6231.18,5983.59,5175.57,5216.96,6093.7
2011-02-28,6326.65,5455.4,6277.99,5804.33,6170.75,6270.03,6057.8,5247.09,5265.49,6167.53
2011-03-07,6432.24,5582.71,6326.22,5893.11,6250.09,6373.02,6137.15,5315.12,5393.97,6235.88
2011-03-14,6477.04,5630.51,6421.04,5957.32,6335.9800000000005,6474.74,6242.05,5424.05,5505.9,6321.04
2011-03-21,6536.2300000000005,5737.43,6499.79,6046.67,6420.66,6525.04,6320.01,5497.75,5604.77,6435.62
2011-03-28,6576.9,5779.54,6520.7,6095.65,6488.89,6572.28,6353.63,5575.72,5642.64,6478.55
2011-04-04,6613.59,5797.9800000000005,6573.84,6120.88,6589.72,6676.18,6449.38,5608.08,5673.81,6527.5
2011-04-11,6670.19,5849.6,6593.06,6151.9800000000005,6664.9,6720.65,6502.06,5626.92,5729.65,6580.06
2011-04-18,6692.31,5870.8,6610.71,6181.26,6669.63,6735.94,6526.47,5631.35,5748.95,6604.46
2011-04-25,6700.61,5892.84,6606.94,6196.22,6680.78,6749.42,6528.42,5640.77,5738.35,6632.12
2011-05-02,6772.59,5907.7300000000005,6652.41,6210.29,6736.08,6782.16,6569.9800000000005,5679.51,5832.02,6703.0
2011-05-09,6795.1,5931.09,6692.5,6263.88,6768.59,6812.27,6586.28,5682.11,5877.25,6713.4
2011-05-16,6811.43,5943.92,6725.16,6290.87,6788.85,6835.03,6634.08,5702.2300000000005,5928.62,6750.99
2011-05-23,6827.09,5967.16,6728.57,6313.66,6813.13,6863.55,6641.13,5727.4800000000005,5958.0,6757.0
2011-05-30,6844.87,5984.46,6732.05,6351.49,6834.74,6890.58,6674.94,5724.54,5986.96,6786.55
2011-06-06,6869.53,6001.1,6772.02,6359.82,6864.27,6904.21,6712.2300000000005,5745.95,6005.5,6823.08
2011-06-13,6888.74,6023.78,6806.29,6372.83,6882.06,6923.81,6722.67,5772.16,6037.85,6861.57
